Date,"Cell_A,V","DMM1_TEMP,°C","DMM2_TEMP,°C","DMM3_TEMP,°C","Ambient temp,°C",Ambient RH%,"Ambient pressure, hPa","Airbath temp,°C"
18/10/2022-01:01:40,10.0000124,36.3,36.7,35.5,22.908,39.4,997.2,23.096
18/10/2022-01:01:49,10.0000126,36.3,36.7,35.5,22.903,39.4,997.1,23.095
18/10/2022-01:01:58,10.0000126,36.3,36.7,35.5,22.908,39.4,997.1,23.096
18/10/2022-01:02:27,10.0000123,36.3,36.7,35.5,22.913,39.4,997.1,23.098
18/10/2022-01:02:35,10.0000124,36.3,36.7,35.5,22.908,39.4,997.1,23.102
18/10/2022-01:02:42,10.0000126,36.3,36.7,35.5,22.913,39.4,997.1,23.102
18/10/2022-01:02:49,10.0000126,36.3,36.7,35.5,22.903,39.4,997,23.103
18/10/2022-01:02:56,10.0000126,36.3,36.7,35.5,22.903,39.4,997,23.104
18/10/2022-01:03:04,10.0000125,36.3,36.7,35.5,22.908,39.4,997,23.107
18/10/2022-01:03:12,10.0000124,36.3,36.7,35.5,22.908,39.4,997,23.109
18/10/2022-01:03:21,10.0000128,36.3,36.7,35.5,22.913,39.4,996.9,23.109
18/10/2022-01:03:30,10.0000130,36.3,36.7,35.5,22.908,39.4,997.1,23.11
18/10/2022-01:03:39,10.0000130,36.3,36.7,35.5,22.908,39.4,997,23.111
18/10/2022-01:03:48,10.0000129,36.3,36.7,35.5,22.898,39.4,996.9,23.113
18/10/2022-01:03:57,10.0000127,36.3,36.7,35.5,22.898,39.4,997,23.114
18/10/2022-01:04:06,10.0000126,36.3,36.7,35.5,22.908,39.4,997,23.115
18/10/2022-01:04:15,10.0000129,36.3,36.7,35.5,22.898,39.4,996.9,23.113
18/10/2022-01:04:24,10.0000127,36.3,36.7,35.5,22.898,39.4,997,23.111
18/10/2022-01:04:34,10.0000128,36.3,36.7,35.5,22.903,39.4,996.9,23.114
18/10/2022-01:04:43,10.0000128,36.3,36.7,35.5,22.903,39.4,997,23.116
18/10/2022-01:04:52,10.0000129,36.3,36.7,35.5,22.893,39.4,997,23.117
18/10/2022-01:05:00,10.0000123,36.3,36.7,35.5,22.903,39.4,997,23.116
18/10/2022-01:05:09,10.0000123,36.3,36.7,35.5,22.903,39.4,997,23.116
18/10/2022-01:05:39,10.0000120,36.3,36.6,35.4,22.913,39.4,997,23.116
18/10/2022-01:05:47,10.0000120,36.3,36.6,35.4,22.908,39.4,996.9,23.119
18/10/2022-01:05:54,10.0000120,36.3,36.6,35.4,22.903,39.4,996.9,23.118
18/10/2022-01:06:01,10.0000124,36.3,36.6,35.4,22.913,39.4,996.9,23.119
18/10/2022-01:06:08,10.0000121,36.3,36.6,35.4,22.903,39.4,996.8,23.122
18/10/2022-01:06:16,10.0000119,36.3,36.6,35.4,22.903,39.4,996.9,23.122
18/10/2022-01:06:24,10.0000120,36.3,36.6,35.4,22.898,39.4,996.8,23.122
18/10/2022-01:06:33,10.0000120,36.3,36.6,35.4,22.898,39.4,996.9,23.123
18/10/2022-01:06:42,10.0000119,36.3,36.6,35.4,22.898,39.4,996.9,23.127
18/10/2022-01:06:51,10.0000119,36.3,36.6,35.4,22.908,39.4,996.9,23.13
18/10/2022-01:07:01,10.0000121,36.3,36.6,35.4,22.908,39.4,996.9,23.13
18/10/2022-01:07:09,10.0000122,36.3,36.6,35.4,22.903,39.4,996.8,23.13
18/10/2022-01:07:18,10.0000119,36.3,36.6,35.4,22.898,39.4,996.9,23.13
18/10/2022-01:07:27,10.0000121,36.3,36.6,35.4,22.898,39.4,996.8,23.129
18/10/2022-01:07:36,10.0000121,36.3,36.6,35.4,22.903,39.4,996.9,23.129
18/10/2022-01:07:45,10.0000120,36.3,36.6,35.4,22.903,39.4,996.9,23.128
18/10/2022-01:07:54,10.0000121,36.3,36.6,35.4,22.898,39.4,996.9,23.129
18/10/2022-01:08:03,10.0000123,36.3,36.6,35.4,22.903,39.4,996.8,23.132
18/10/2022-01:08:13,10.0000122,36.3,36.6,35.4,22.888,39.4,996.8,23.133
18/10/2022-01:08:22,10.0000119,36.3,36.6,35.4,22.883,39.4,996.9,23.134
18/10/2022-01:08:51,10.0000116,36.3,36.6,35.4,22.898,39.4,996.8,23.135
18/10/2022-01:08:58,10.0000118,36.3,36.6,35.4,22.898,39.4,996.9,23.134
18/10/2022-01:09:06,10.0000117,36.3,36.6,35.4,22.903,39.4,996.8,23.135
18/10/2022-01:09:13,10.0000115,36.3,36.6,35.4,22.903,39.4,996.8,23.135
18/10/2022-01:09:20,10.0000118,36.3,36.6,35.4,22.893,39.4,996.8,23.135
18/10/2022-01:09:27,10.0000120,36.3,36.6,35.4,22.898,39.4,996.8,23.135
18/10/2022-01:09:36,10.0000120,36.3,36.6,35.4,22.898,39.4,996.8,23.135
18/10/2022-01:09:46,10.0000120,36.3,36.6,35.4,22.898,39.4,996.8,23.136
18/10/2022-01:09:54,10.0000115,36.3,36.6,35.4,22.898,39.4,996.8,23.137
18/10/2022-01:10:04,10.0000117,36.3,36.6,35.4,22.888,39.4,996.7,23.138
18/10/2022-01:10:13,10.0000117,36.3,36.6,35.4,22.898,39.4,996.8,23.138
18/10/2022-01:10:21,10.0000116,36.3,36.6,35.4,22.888,39.4,996.7,23.14
18/10/2022-01:10:30,10.0000119,36.3,36.6,35.4,22.898,39.4,996.8,23.141
18/10/2022-01:10:39,10.0000123,36.3,36.6,35.4,22.898,39.4,996.8,23.144
18/10/2022-01:10:48,10.0000117,36.3,36.6,35.4,22.883,39.4,996.7,23.143
18/10/2022-01:10:57,10.0000123,36.3,36.6,35.4,22.893,39.4,996.7,23.143
18/10/2022-01:11:06,10.0000124,36.3,36.6,35.4,22.898,39.4,996.7,23.144
18/10/2022-01:11:15,10.0000123,36.3,36.6,35.4,22.898,39.4,996.7,23.143
18/10/2022-01:11:24,10.0000120,36.3,36.6,35.4,22.898,39.4,996.7,23.143
18/10/2022-01:11:33,10.0000119,36.3,36.6,35.4,22.888,39.4,996.8,23.144
18/10/2022-01:12:03,10.0000118,36.3,36.6,35.4,22.898,39.4,996.7,23.145
18/10/2022-01:12:10,10.0000120,36.3,36.6,35.4,22.893,39.4,996.7,23.148
18/10/2022-01:12:17,10.0000118,36.3,36.6,35.4,22.903,39.4,996.8,23.149
18/10/2022-01:12:24,10.0000121,36.3,36.6,35.4,22.908,39.4,996.8,23.15
18/10/2022-01:12:32,10.0000117,36.3,36.6,35.4,22.888,39.4,996.8,23.149
18/10/2022-01:12:39,10.0000120,36.3,36.6,35.4,22.898,39.4,996.8,23.148
18/10/2022-01:12:47,10.0000122,36.3,36.6,35.4,22.893,39.4,996.8,23.148
18/10/2022-01:12:56,10.0000121,36.3,36.6,35.4,22.903,39.4,996.8,23.149
18/10/2022-01:13:06,10.0000122,36.3,36.6,35.4,22.883,39.4,996.8,23.149
18/10/2022-01:13:15,10.0000122,36.3,36.6,35.4,22.898,39.4,996.7,23.15
18/10/2022-01:13:24,10.0000122,36.3,36.6,35.4,22.888,39.4,996.7,23.15
18/10/2022-01:13:33,10.0000126,36.3,36.6,35.4,22.888,39.4,996.7,23.148
18/10/2022-01:13:42,10.0000126,36.3,36.6,35.4,22.903,39.4,996.8,23.148
18/10/2022-01:13:51,10.0000124,36.3,36.6,35.4,22.893,39.4,996.8,23.15
18/10/2022-01:14:00,10.0000125,36.3,36.6,35.4,22.898,39.4,996.7,23.151
18/10/2022-01:14:08,10.0000124,36.3,36.6,35.4,22.893,39.4,996.8,23.151
18/10/2022-01:14:18,10.0000125,36.3,36.6,35.4,22.893,39.4,996.7,23.15
18/10/2022-01:14:27,10.0000126,36.3,36.6,35.4,22.893,39.4,996.8,23.149
18/10/2022-01:14:37,10.0000128,36.3,36.6,35.4,22.893,39.4,996.7,23.151
18/10/2022-01:14:46,10.0000122,36.3,36.6,35.4,22.888,39.4,996.8,23.151
18/10/2022-01:15:15,10.0000123,36.2,36.5,35.3,22.898,39.4,996.8,23.151
18/10/2022-01:15:22,10.0000118,36.2,36.5,35.3,22.883,39.4,996.7,23.155
18/10/2022-01:15:30,10.0000116,36.2,36.5,35.3,22.898,39.4,996.7,23.155
18/10/2022-01:15:37,10.0000116,36.2,36.5,35.3,22.888,39.4,996.6,23.154
18/10/2022-01:15:45,10.0000118,36.2,36.5,35.3,22.883,39.4,996.7,23.154
18/10/2022-01:15:52,10.0000114,36.2,36.5,35.3,22.888,39.4,996.7,23.152
18/10/2022-01:16:00,10.0000118,36.2,36.5,35.3,22.888,39.4,996.7,23.153
18/10/2022-01:16:09,10.0000115,36.2,36.5,35.3,22.893,39.4,996.7,23.152
18/10/2022-01:16:17,10.0000120,36.2,36.5,35.3,22.883,39.4,996.7,23.154
